En	Ko
inform	알리다, 통지하다
advise	충고하다
service	봉사, 공공 업무, 서비스
provide	공급하다, 준비하다
relationship	관계
behave	(예의 바르게) 행동하다
improve	향상시키다, 향상하다
individual	개인, 개인의
require	필요로 하다, 요구하다
develop	개발하다, 발달하다
social	사회의
amount	총계, 양, 총계가~되다
employ	고용하다
terrible	무서운, 끔찍한
attitude	태도, 입장
research	연구, 연구하다, 조사하다
audience	청중, 관객
volunteer	자원봉사, 지원자
influence	영향, 영향을 끼치다
international	국제의, 국제적인
opportunity	기회
ability	능력
expense	비용, 지출
involve	포함하다, 말려들게 하다
stress	강조, 강조하다, 스트레스
therefore	그러므로, 그 결과
average	평균, 평균의
ride	(탈 것을) 타다, 태움
local	지방의, 지역의, 장소의
encourage	촉구하다, 격려하다
determine	결심하다, 결정하다
comfort	편안, 위로, 편안하게하다
consume	소비하다
object	물체, 목표, 반대하다
impress	~에게 깊은 인상을 주다
available	이용 가능한, 쓸모있는
contain	함유하다, 포함하다
revenue	수입, 수익
recognize	인지하다, 인정하다
material	재료, 물질, 물질의
